idx	true_id	pred_id	true_label	pred_label	text
368	4	1	4	1	hatfield executives go on trial engineering firm balfour beatty and five railway managers are to go on trial for manslaughter over the hatfield rail crash in 2000.  four people died when a section of rail broke and a high speed train derailed. balfour beatty s railway maintenance arm was in charge of the upkeep of the line at hatfield  hertfordshire. balfour beatty managers anthony walker and nicholas jeffries  and railtrack managers alistair cook  sean fugill and keith lea all face individual charges. all five men  along with four others  are also accused of breaches of health and safety laws. balfour beatty rail maintenance faces a corporate manslaughter charge. it is expected the trial could last as long as a year. the accident  on 17 october 2000  happened when the london to leeds express came off the tracks at 115 mph  when it was derailed by a cracked section of rail. the accident on the east coast main line sparked major disruption. the overall responsibility for the line was railtrack s - the company that has now become network rail. those who died in the accident were steve arthur  46  from pease pottage  west sussex; peter monkhouse  50  of headingley  leeds; leslie gray  43  of tuxford  nottingham; and robert james alcorn  37  of auckland  new zealand.
404	1	0	1	0	news corp eyes video games market news corp  the media company controlled by australian billionaire rupert murdoch  is eyeing a move into the video games market.  according to the financial times  chief operating officer peter chernin said that news corp is  kicking the tyres of pretty much all video games companies . santa monica-based activison is said to be one firm on its takeover list. video games are  big business   the paper quoted mr chernin as saying. we  would like to get into it .  the success of products such as sony s playstation  microsoft s x-box and nintendo s game cube have boosted demand for video games. the days of arcade classics such as space invaders  pac-man and donkey kong are long gone. today  games often have budgets big enough for feature films and look to give gamers as real an experience as possible. and with their price tags reflecting the heavy investment by development companies  video games are proving almost as profitable as they are fun.  mr chernin  however  told the ft that news corp was finding it difficult to identify a suitable target.  we are struggling with the gap between companies like electronic arts (ea)  which comes with a high price tag  and the next tier of companies   he explained during a conference in phoenix  arizona.  these may be too focused on one or two product lines.  activision has a stock market capitalisation of about $2.95bn (£1.57bn)  compared to ea s $17.8bn. some of the games industry s main players have recently been looking to consolidate their position by making acquisitions. france s ubisoft  one of europe s biggest video game publishers  has been trying to remain independent since electronic arts announced plans to buy 19.9% of the firm. analysts have said that industry mergers are likely in the future.
409	3	4	3	4	bbc  should allow more scrutiny  mps have urged the bbc to give watchdogs more freedom to scrutinise how £2bn in licence fee money is spent.  the public accounts committee called for the national audit office to be given a  free hand  to investigate how the bbc offers value for money. although six areas are to be opened up to scrutiny the audit office should have more power to choose what it investigated  the mps said. the call was made in a report into the bbc s freeview digital service.  our aim is not to rewrite the storyline of eastenders but simply to ensure that the bbc is as accountable to parliament as any other organisation spending public money   said the committee chairman  mp edward leigh.  the bbc s spending is not subject to the full independent scrutiny  and accountability to parliament.  parliament requires television owners to pay a licence fee and expects the comptroller and auditor general  on behalf of parliament  to be able to scrutinise how that money  over £2 billion a year  is used.   a bbc spokeswoman said:  we share the committee s interest in ensuring the public money we receive is spent well. though in its infancy  we think the arrangements with the nao are working well and should be given time to mature.  the report said the freeview digital service has had an  impressive  take up since its launch but the bbc must still dispel confusion about the service. the committee found the bbc had succeeded in ensuring subscription-free access to digital channels following the collapse of itv digital in 2002. but the fact that one in four homes could not access freeview remained a problem.  the report said that while gaps in the coverage were largely due to landscape issues  there was need for detailed explanations on the freeview website and on promotional literature as to why it was not available in specific areas. the government has proposed switch off of the analogue television signal  with 2012 the most recently proposed date. the bbc launched freeview in 2002 as an alternative to satellite subscription services such as sky  to allow its digital channels such as bbc three and news 24 to be seen. there have been an estimated five million freeview set-top boxes sold since the launch and prices have fallen considerably. the corporation plans to spend up to £138m on freeview before 2014 to ensure people can receive the service throughout the uk  and are aware of it.
433	4	1	4	1	gurkhas to help tsunami victims britain has offered to send a company of 120 gurkhas to assist with the tsunami relief effort in indonesia  downing street said.  the deployment would involve troops from the 2nd battalion royal gurkha rifles  based in brunei. discussions have begun with indonesia on the exact timing and location of the deployment  but the government said the offer was aimed at the aceh province. downing st said a similar offer might be made to the sri lankan government.  however a spokesman pointed out that there were particular logistical difficulties in indonesia which the gurkhas might be able to help with. the spokesman said:  following this morning s daily coordination meeting on the post-tsunami relief effort  the government has formally offered the indonesian government the assistance of a company of british army gurkhas from 2nd battalion royal gurkha rifles around 120 personnel and two helicopters.  this is in addition to the ships and aircraft we have already committed to the relief operation in the indian ocean.   indonesia was by far the country worst affected by the tsunami  with 94 000 of the 140 000 confirmed deaths so far. international development minister gareth thomas said the assistance offer would most likely focus on the northern province of aceh.  we have offered the gurkhas to help in the process of scaling up the relief effort  particularly in aceh which is undoubtedly the hardest hit area in the indian ocean at the moment   he said.  we ve also had raf aircraft flying in equipment which the un desperately need in order to set up a truly effective relief operation on the ground in aceh province as well.  the offer comes as the foreign secretary jack straw arrives in indonesia for a special summit meeting on the disaster.
438	2	1	2	1	ferdinand casts doubt over glazer rio ferdinand has said he is unsure of malcolm glazer s motives after the american billionaire launched a new offer to buy manchester united.  the club have confirmed that the glazer family partnership have submitted proposals of a third bid.  a lot of people want the club s interest to be with people who have grown up with the club and have got its interests at heart   said ferdinand.  no one knows what this guy will be bringing to the table.  the central defender added on bbc radio five live:  we will have to wait and see what glazer comes with.  i would like to see the situation resolved either way.  i think people are getting bored with him coming in and out of the news with new proposals.  the other stuff off the pitch takes the shine off what is going on the pitch.   glazer  currently owns a 28.1% stake in the club  and united s statement to the stock exchange said:  the board has noted the recent press speculation on this subject.  the board can confirm that it has now received a detailed proposal subject to various pre-conditions which may form the basis of an offer for manchester united from glazer.  a further announcement will be made in due course.  glazer s previous bids for the club  which united supporters opposed  were rejected by the board because of the high level of debt they would incur. but it is believed that glazer has substantially reduced the borrowing required for his latest move. he will still need the approval of major shareholders john magnier and jp mcmanus  who own 28.9% of the club to succeed. but the irish duo have cut off talks with glazer over the proposed sale of their stake  while fans remain opposed to his involvement.
468	3	0	3	0	help for indies in download sales a campaign has been launched to help independent labels get their music online and benefit from the growing trend for downloading music.  the british phonographic industry has identified a lack of independent music available for download.  we want to ensure that independent repertoire is as successful in the download world as it is in the physical world   said bpi chief peter jamieson. downloaded singles have now overtaken physical singles in the uk. mr jamieson said his organisation was lobbying music service providers  which include itunes and napster  to urge them to promote independent releases. download sales are due to be incorporated into the uk singles chart later this year.  with downloads shortly to be eligible for the singles chart  this is a key commercial issue on which the bpi committed to assisting its members   added mr jamieson. as part of the campaign the bpi is running a series of seminars entitled getting your music online  focusing on how independent labels can embrace digital music. the us has already begun incorporating download sales in the billboard s hot 100 chart.
488	1	0	1	0	news corp eyes video games market news corp  the media company controlled by australian billionaire rupert murdoch  is eyeing a move into the video games market.  according to the financial times  chief operating officer peter chernin said that news corp is  kicking the tires of pretty much all video games companies . santa monica-based activison is said to be one firm on its takeover list. video games are  big business   the paper quoted mr chernin as saying. we  would like to get into it .  the success of products such as sony s playstation  microsoft s x-box and nintendo s game cube have boosted demand for video games.  the days of arcade classics such as space invaders  pac-man and donkey kong are long gone. today  games often have budgets big enough for feature films and look to give gamers as real an experience as possible. and with their price tags reflecting the heavy investment by development companies  video games are proving almost as profitable as they are fun. mr chernin  however  told the ft that news corp was finding it difficult to identify a suitable target.  we are struggling with the gap between companies like electronic arts  which comes with a high price tag  and the next tier of companies   he explained during a conference in phoenix  arizona.  these may be too focused on one or two product lines.
552	1	4	1	4	call to save manufacturing jobs the trades union congress (tuc) is calling on the government to stem job losses in manufacturing firms by reviewing the help it gives companies.  the tuc said in its submission before the budget that action is needed because of 105 000 jobs lost from the sector over the last year. it calls for better pensions  child care provision and decent wages. the 36-page submission also urges the government to examine support other european countries provide to industry. tuc general secretary brendan barber called for  a commitment to policies that will make a real difference to the lives of working people.    greater investment in childcare strategies and the people delivering that childcare will increases the options available to working parents   he said.  a commitment to our public services and manufacturing sector ensures that we can continue to compete on a global level and deliver the frontline services that this country needs.  he also called for  practical measures  to help pensioners  especially women who he said  are most likely to retire in poverty . the submission also calls for decent wages and training for people working in the manufacturing sector.
724	4	0	4	0	game warnings  must be clearer  violent video games should carry larger warnings so parents can understand what their children are playing  the trade and industry secretary has said.  patricia hewitt is expected to call for the law banning the sale of 18-rated games to children to be enforced better at a games industry meeting on sunday. she is concerned too many children are playing games aimed at adults which include  high levels of violence . parents are expected to spend millions on video games as christmas presents.  violent games have been hit by controversy after the game manhunt was blamed by the parents of 14-year-old stefan pakeerah  who was stabbed to death in leicester in february. his mother  giselle  said her son s killer  warren leblanc  17 - who was jailed for life in september - had mimicked behaviour in the game. police investigating the stefan s murder dismissed its influence and manhunt was not part of its legal case. ahead of sunday s meeting in london  ms hewitt said she was proud of the uk s  vibrant games industry  but was concerned too many children were playing games which should only be sold to adults. roger bennett  head of gaming industry body elspa  said banning violent games would be wrong. he said:  we don t want to go down that route. we have seen that the government is supportive of the industry.  the government is holding a further meeting on friday with industry and retail representatives as well as the british board of film classification to discuss how labelling can be made clearer. ms hewitt said:  adults should be treated as adults and children as children. it is important that retailers respect the classifications and do not sell games with high levels of violence to minors.   equally parents need to know what they might be buying for their children.  video games are different to films or videos  and not all parents have grown up playing games in the way our children do.  we need to look carefully at how we improve content warnings and strengthen sales enforcement.  her call was backed by culture  media and sport secretary tessa jowell who said:  you wouldn t let your child watch the texas chainsaw massacre. you wouldn t let them go to a strip club.  so you shouldn t let them play an 18-rated game. it s the same principle - adults can make their own informed choices  but children can t always and need to be protected.  anyone convicted of selling an 18-rated game to a child can be jailed for six months and fined up to £5 000. rockstar games  the makers of manhunt  has said in the past it markets its games responsibly and only targets its adverts at adults.
773	1	0	1	0	id theft surge hits us consumers almost a quarter of a million us consumers complained of being targeted for identity theft in 2004  official figures suggest.  the federal trade commission said two in five of the 635 173 reports it had from consumers concerned id fraud. id theft occurs when criminals use someone else s personal information to steal credit or commit other crimes. internet auctions were the second biggest source of fraud complaints  comprising 16% of the total. the total cost of fraud reported by consumers was $546m (£290m).  the report marks the fifth year in a row in which identity fraud has topped the table. the biggest slice of the 246 570 id fraud cases reported - almost 30% - concerned abuses of people s credit. misusing someone s identity to claim new credit cards or loans comprised 16.5% of the total  with almost 12% coming from false claims on existing credit. another 18% came from attempts to rip off people s bank accounts  while 13% of cases concerned attempts to defraud employers by abusing someone else s identity. outside the field of id theft  53% of the near-400 000 complaints were internet-related. among the 100 000 internet auction complaints  the failure of sellers to deliver or the supply of sub-standard goods were the most common woes reported. catalogue and home-shopping frauds were next in line  accounting for 8% of total complaints  while concerns about internet services and computers - including spyware found on people s pcs and undisclosed charges for websites - amounted to 6% of complaints.
775	1	0	1	0	card fraudsters  targeting web  new safeguards on credit and debit card payments in shops has led fraudsters to focus on internet and phone payments  an anti-fraud agency has said.  anti-fraud consultancy retail decisions says  card-not-present  fraud  where goods are paid for online or by phone  has risen since the start of 2005. the introduction of  chip and pin  cards has tightened security for transactions on the high street. but the clampdown has caused fraudsters to change tack  retail decisions said.  the introduction of chip and pin cards aimed to cut down on credit card fraud in stores by asking shoppers to verify their identity with a confidential personal pin number  instead of a signature. retail decisions chief executive carl clump told the bbc that there was  no doubt  that chip and pin would  reduce card fraud in the card-present environment .  however  it is important to monitor what happens in the card-not-present environment as fraudsters will turn their attention to the internet  mail order  telephone order and interactive tv   he said.  we have seen a 22% uplift in card-not-present fraud here in the uk... since the start of the year.  fraud doesn t just disappear  it mutates to the next weakest link in the chain   he said.  retail decisions  survey on the implementation of chip and pin found that shoppers had adapted easily to the new system  but that banks  performance in distributing the new cards had been patchy  at best.  the main issue is that not everyone has the pins they need   said mr clump. nearly two thirds - 65% - of the 1 000 people interviewed said they had used chip and pin to make payments. of these  83% were happy with the experience  though nearly a quarter said they struggled to remember their pin number. however  only 34% said they had received replacement cards with the necessary  chip  technology from all their card providers. furthermore  16% said that none of their cards had been replaced  while 30% said only some had. uk shoppers spent £5.3bn on plastic cards in 2003  the last full year for which figures are available from the association of payment clearing services (apacs). altogether  card scams on uk-issued cards totalled £402.4m in 2003. card-not-present fraud rose an annual 6% to £116.4m  making it the biggest category even then. within this  internet fraud totalled £43m  apacs  figures show.
794	4	1	4	1	msps hear renewed climate warning climate change could be completely out of control within several decades  the scottish environment protection agency is warning a committee of msps.  experts are giving evidence on the subject to the scottish parliament s environment committee. officials believe nuclear energy and wind farms may be better options than trying to tackle global warming. solutions suggested by conservationists include reducing internal uk air travel and boosting electric trains. the evidence is part of the committee s inquiry into the impact of climate change in scotland. sepa is attempting to curb global warming gases  as pollution from transport emissions increases.  ecologists are warning msps that scotland may have to accept  significant intrusion  from wind farms. it is likely also that nuclear power will be needed for possibly several decades. sepa predict that the two methods will remain as energy sources until climate change is under control. experts studying the seas off scotland s west coast have already forecast more devastating weather of the type which caused havoc across the country last month.  they predicted that damaging storms will become more frequent. researchers from the university of the highlands and islands and southampton have been looking at wave heights in the atlantic over the last nine years. the project was conducted jointly by the environmental research institute in thurso  which is part of the university of the highlands and islands (uhi) millennium institute network  and the southampton oceanography centre. scientists carried out a series of studies  including the use of satellites to assess wave heights in the seas around the west coast and the hebrides.
825	3	0	3	0	uk tv channel rapped for csi ad tv channel five has been criticised for sending  offensive  and  threatening  advertising material to viewers for a new show about murder scene scientists.  five mailed thousands of fake dossiers including photos of murder victims and an e-mail suggesting the recipient was being stalked by a serial killer. following complaints  the advertising standards authority contacted five to cease promotion of crime show csi:ny. five admitted it had sent out 55 000 promotion packs but had now stopped. the promotion material was sent in brown envelope of the type used by investigators in the series  a spin-off from the highly successful csi: crime scene investigation series  which also runs on five. the pack also features pictures of forensic evidence from a crime scene and a wanted poster  which did have a csi:ny logo printed in large at the bottom.  five said it had received 100 complaints but that it had been surprised at the reaction because it was  obvious this material is promoting a drama . a five spokesman said:  in light of the efforts we have made to make the nature of the contents so transparent we are surprised a very small minority of recipients have mistaken it as anything else.  everyone who was sent this promotion has expressed an interest in receiving details about this particular genre of programming on various websites.  we have also received emails and calls from recipients praising the originality and imagination of the campaign.
